,Group,logV,logVsd,logVlow,logVhigh,n,nsd,nlow,nhigh,Eo,Eosd,Eolow,Eohigh,Nspecies,level
75,Cyprinodontiformes,1.481150541,0.466679901,0.739708534,2.227469737,-0.058616113,0.065839086,-0.164629462,0.047647401,0.100357505,0.207617862,-0.254416839,0.406308651,4,Order
76,Cyprinodontidae,1.964741493,0.284067122,1.485397634,2.405000446,-0.027080708,0.076200947,-0.145968232,0.104565327,0.024803009,0.194205691,-0.315223655,0.3167571,1,Family
77,Fundulidae,1.823738773,0.340188952,1.210382565,2.321999919,-0.037668677,0.074115563,-0.159142812,0.083141853,-0.087790927,0.178422079,-0.371502596,0.207817289,2,Family
78,Poeciliidae,1.062384177,0.37968134,0.41450831,1.662325534,-0.08237251,0.083039843,-0.228520465,0.043686504,0.115335315,0.216128699,-0.266119885,0.448671908,1,Family
79,Eupercaria,1.428176856,0.451107434,0.676090226,2.185399156,-0.07614711,0.058351637,-0.168786789,0.018798599,0.185634696,0.177101618,-0.121235832,0.475766899,11,Order
80,Labridae,1.420677061,0.271408626,1.000615188,1.88497138,-0.073495566,0.06068006,-0.174048084,0.025280065,0.168245864,0.128840523,-0.043369708,0.392799276,3,Family
81,Moronidae,1.403517708,0.377338966,0.7854335,2.017675314,-0.089366366,0.059614023,-0.193789651,0.000623898,0.20963975,0.138528592,-0.010553865,0.443098395,1,Family
82,Nemipteridae,1.431993489,0.381986589,0.791934765,2.054848502,-0.072416243,0.066471482,-0.177143427,0.036169153,0.189047527,0.176308532,-0.1079192,0.47694969,1,Family
83,Sciaenidae,1.390218005,0.285378488,0.903961939,1.836063579,-0.059769755,0.047599094,-0.133405714,0.021947671,0.079521865,0.113965355,-0.115049533,0.264234464,3,Family
84,Sparidae,1.515142111,0.281883546,1.061243865,1.976437094,-0.085605899,0.049242366,-0.16884719,-0.006820932,0.185090531,0.116348051,0.001277457,0.376992156,3,Family
85,Gadiformes,1.599087884,0.473981691,0.813228138,2.369912956,-0.051570319,0.063851891,-0.15984317,0.047114131,0.183939008,0.189544637,-0.134111201,0.492410177,2,Order
86,Gadidae,1.97524181,0.312373104,1.444081335,2.481842855,-0.027130664,0.061946309,-0.130209315,0.076643455,0.141937316,0.127345726,-0.07312857,0.349149534,2,Family
87,Gobiiformes,1.234025851,0.463742274,0.475106535,2.000419071,-0.081598639,0.061620945,-0.178492358,0.01831448,0.265356636,0.190252013,-0.048437124,0.577784311,13,Order
88,Gobiidae,1.111054505,0.269082977,0.64304489,1.558101454,-0.103771288,0.04739142,-0.183913549,-0.027808794,0.315823353,0.131728046,0.100911277,0.523675686,13,Family
89,Kurtiformes,1.284412043,0.480340281,0.514147007,2.072913568,-0.069515953,0.065539857,-0.169283234,0.034634464,0.227443975,0.199290365,-0.124113839,0.534281892,9,Order
90,Apogonidae,1.25413893,0.380230987,0.60872555,1.885852223,-0.063609213,0.066336838,-0.165486614,0.048084982,0.20913104,0.19648539,-0.133171249,0.511882156,9,Family
91,Myctophiformes,1.349024352,0.493709779,0.572385549,2.144669465,-0.068884425,0.066293238,-0.17003805,0.039486045,0.248346997,0.194120407,-0.065687227,0.56886834,2,Order
92,Myctophidae,1.357753864,0.275603046,0.900163794,1.796437648,-0.06482507,0.072275479,-0.18619457,0.048743922,0.273579325,0.149680705,0.034815098,0.536450409,2,Family
93,Ovalentaria,1.352225222,0.454531133,0.560473738,2.05658249,-0.024427609,0.064254971,-0.126763742,0.075746004,0.198058526,0.195526444,-0.115924998,0.534307766,17,Order
94,Embiotocidae,1.255211559,0.344896779,0.692622022,1.798728406,-0.02022157,0.074998551,-0.152251234,0.093240925,0.228130358,0.174558739,-0.039944433,0.526258196,1,Family
95,Plesiopidae,1.439090909,0.312237302,0.916858511,1.942475478,-0.024508901,0.075349688,-0.159812275,0.092965866,0.19022159,0.17690493,-0.103982645,0.47503647,1,Family
96,Pomacentridae,1.33291859,0.323199396,0.813932598,1.845141832,0.042950158,0.03551096,-0.016339977,0.099746526,0.182095189,0.164719657,-0.082490078,0.46139494,15,Family
97,Perciformes,1.567302959,0.41721966,0.868794195,2.288266517,-0.092011777,0.056864711,-0.185340558,-0.003163359,0.266859034,0.170982811,-0.007767841,0.553292389,22,Order
98,Cottidae,1.68707562,0.219524306,1.315921914,2.063303283,-0.112855536,0.04338897,-0.185246511,-0.047042532,0.374590307,0.111223003,0.195348439,0.552242485,11,Family
99,Cyclopteridae,1.812217051,0.305640618,1.324992425,2.331520639,-0.087449607,0.071796422,-0.197747693,0.0319758,0.194022769,0.153607216,-0.049413986,0.459864872,1,Family
100,Hemitripteridae,1.795723436,0.284390062,1.309746144,2.253986114,-0.079686112,0.069501821,-0.192116062,0.032694405,0.236943309,0.149695562,0.001089636,0.497086119,1,Family
101,Jordaniidae,1.553311968,0.312025525,1.042806129,2.064506821,-0.088941097,0.061226221,-0.186700167,0.014581343,0.339007462,0.149491225,0.107172279,0.604122777,1,Family
102,Nototheniidae,1.892545974,0.348841392,1.347161712,2.487851755,-0.084295609,0.074982458,-0.207107214,0.038429691,0.137360611,0.135144605,-0.097473616,0.350466658,1,Family
103,Pinguipedidae,1.400061113,0.373144174,0.814246813,2.021455475,-0.101577352,0.072443968,-0.220172774,0.010922799,0.271564273,0.177430883,-0.038187379,0.536778902,1,Family
104,Scorpaenidae,1.208930098,0.371289278,0.585082865,1.791852307,-0.113653918,0.074298289,-0.242879525,5.08661781333748E-05,0.257289698,0.180073213,-0.04018022,0.544540259,2,Family
105,Serranidae,1.457304095,0.353799756,0.899011712,2.049087751,-0.07561356,0.059644982,-0.172922844,0.021775799,0.271032108,0.131930767,0.042278452,0.476719602,1,Family
106,Stichaeidae,1.791708325,0.320070239,1.27543657,2.304773692,-0.0830512,0.073195098,-0.198002031,0.039005866,0.230525591,0.167493062,-0.058883034,0.479190033,1,Family
107,Zoarcidae,1.29142393,0.276441177,0.827523798,1.739070971,-0.140322815,0.070712941,-0.261979641,-0.040487975,0.513225768,0.139579904,0.274168968,0.741375337,2,Family
108,Pleuronectiformes,1.451967058,0.487199768,0.666584452,2.267946891,-0.067782328,0.064586096,-0.17318143,0.027959186,0.188835656,0.188225326,-0.119481778,0.497296615,2,Order
109,Paralichthyidae,1.33199512,0.416880424,0.66971076,2.041948459,-0.062817304,0.065785265,-0.166241,0.046813236,0.20823282,0.163209694,-0.052451439,0.495490934,1,Family
110,Pleuronectidae,1.736219805,0.403529992,1.118436207,2.368680536,-0.090838076,0.077907802,-0.212980212,0.034860277,0.101085137,0.176533768,-0.180965241,0.385874794,1,Family
111,Salmoniformes,1.415882643,0.469562281,0.666974173,2.188418428,-0.067220382,0.062439617,-0.161537389,0.039219022,0.218055166,0.189478007,-0.096775726,0.534805339,3,Order
112,Salmonidae,1.561030839,0.265753748,1.112078341,1.987371551,-0.067096027,0.050365113,-0.144678592,0.013661645,0.220631681,0.115024095,0.023282884,0.405357905,3,Family
113,Scombriformes,1.32391926,0.505456146,0.484273723,2.125051821,-0.062265333,0.063292454,-0.172184826,0.042594053,0.230379546,0.204120092,-0.094965402,0.572960903,1,Order
114,Scombridae,1.286024292,0.494196618,0.482437133,2.108751866,-0.050664875,0.064797034,-0.145423886,0.063686193,0.231056375,0.211851316,-0.132081775,0.56534274,1,Family
115,Tetraodontiformes,1.338352323,0.457843617,0.588472891,2.09779335,-0.064980589,0.065198897,-0.180486508,0.030747793,0.22200102,0.198639791,-0.100248681,0.536434507,1,Order
116,Monacanthidae,1.282280897,0.408615918,0.592090076,1.937997084,-0.067902442,0.075147703,-0.200301761,0.050301734,0.212399381,0.204317682,-0.112825655,0.556365112,1,Family
117,Trachichthyiformes,1.379645871,0.48226087,0.589796529,2.195074876,-0.06436131,0.066262821,-0.171317495,0.046695945,0.221255034,0.196190862,-0.115497514,0.536469107,1,Order
118,Anoplogastridae,1.476271605,0.33196247,0.914894547,2.014443754,-0.063243376,0.077165724,-0.189030549,0.062166102,0.181821307,0.160446991,-0.083416399,0.435925704,1,Family
119,Thaliacea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Class
120,Salpida,1.339255394,0.497846504,0.483429493,2.112094536,-0.070318156,0.064358712,-0.171546196,0.0251841,0.246553393,0.198523156,-0.088122465,0.56194453,1,Order
121,Salpidae,1.28480648,0.324704372,0.714709484,1.806724234,-0.068386368,0.063005794,-0.180493905,0.023338859,0.30115694,0.158850894,0.030306815,0.549294003,1,Family
